,Amd,Amd Clean,Nvidia,Nvidia Clean,Total,Total Clean
count,10838,10433,16883,16323,27721,26756
unique,10477,10265,16392,16001,26824,26161
top,[deleted],thank,[deleted],thank,[deleted],thank
freq,134,15,290,30,424,45
length,1974062,1003296,2893863,1425889,4867925,2429185
mean,182.1426462446946,96.1656282948337,171.4069182017414,87.3545916804509,175.6042350564554,90.79029002840484
std,241.88341101110746,127.03045373689518,228.3159966312745,117.00171641213835,233.76858284838235,121.08507372176
