,Amd_count,Amd_percentage,Nvidia_count,Nvidia_percentage,Total_count,Total_percentage
NEU,5657,53.62085308056872,8123,49.45208815292828,13780,51.08244365361803
NEG,3138,29.74407582938389,5976,36.38134664556191,9114,33.7855871886121
POS,1755,16.635071090047393,2327,14.166565201509801,4082,15.13196915776987
Total,10550,100.0,16426,100.0,26976,100.0
