model,accuracy_Amd,precision_Amd,recall_Amd,f1-score_Amd
binary,0.81,0.8682634730538922,0.7286432160804021,0.7923497267759564
logaritmic,0.8125,0.8734939759036144,0.7286432160804021,0.7945205479452054
tfidf,0.775,0.7853403141361257,0.7537688442211056,0.7692307692307694
