model,accuracy_Nvidia,precision_Nvidia,recall_Nvidia,f1-score_Nvidia
GaussianNB,0.775,0.7655502392344498,0.7960199004975125,0.7804878048780489
KNeighborsClassifier,0.5,0.5012722646310432,0.9800995024875622,0.6632996632996633
RandomForestClassifier,0.84,0.8071748878923767,0.8955223880597015,0.8490566037735848
DecisionTreeClassifier,0.7625,0.7366071428571429,0.8208955223880597,0.7764705882352941
AdaBoostClassifier,0.795,0.7489539748953975,0.8905472636815921,0.8136363636363637
MLPClassifier,0.8625,0.8318181818181818,0.9104477611940298,0.8693586698337292
