model,accuracy_Nvidia,precision_Nvidia,recall_Nvidia,f1-score_Nvidia
binary,0.81,0.7682403433476395,0.8905472636815921,0.8248847926267282
logaritmic,0.8125,0.7692307692307693,0.8955223880597015,0.8275862068965517
tfidf,0.775,0.7655502392344498,0.7960199004975125,0.7804878048780489
