model,accuracy_Amd,precision_Amd,recall_Amd,f1-score_Amd
GaussianNB,0.775,0.7853403141361257,0.7537688442211056,0.7692307692307694
KNeighborsClassifier,0.5,0.42857142857142855,0.01507537688442211,0.029126213592233007
RandomForestClassifier,0.84,0.8813559322033898,0.7839195979899497,0.8297872340425532
DecisionTreeClassifier,0.7625,0.7954545454545454,0.7035175879396985,0.7466666666666667
AdaBoostClassifier,0.795,0.8633540372670807,0.6984924623115578,0.7722222222222223
MLPClassifier,0.8625,0.9,0.8140703517587939,0.8548812664907651
